wt_1,lak_1,wt_2,lak_2,wt_3,lak_3
Dr.16674.1.S1_at,8.844217622,9.348820612,8.091061232,8.692261751,8.298881186,8.841917832
Dr.12295.2.A1_x_at,10.84544007,11.04349999,10.54538373,10.83358009,10.64684671,11.05473429
Dr.12904.1.A1_at,3.775507546,3.270769338,3.278895738,2.957367565,3.78501791,3.360284631
Dr.4644.1.S1_at,10.11230847,10.36163901,10.12546731,10.45208643,10.01578796,10.17525674
Dr.6107.1.S1_at,10.43356553,10.61047205,10.53964719,10.71993711,10.30378354,10.60560826
Dr.15731.1.S1_a_at,5.717023403,6.628015675,5.833002855,7.005436248,5.632547135,6.059756298
Dr.15220.1.A1_at,5.928487801,3.720941074,6.189750683,5.073696344,5.362394216,4.383663156
Dr.12878.1.S1_at,5.571352394,6.484956688,6.651206046,7.182412572,6.177303121,7.166098825
Dr.7209.1.S1_at,8.179513428,7.80209347,8.190708948,7.804392112,8.74213129,8.143417908
Dr.5372.4.A1_at,13.76263527,13.92748079,13.54537952,13.84124909,13.48821946,13.90604053
Dr.13963.2.A1_at,4.587344968,5.430519841,4.961417745,6.064980797,4.885014193,6.899498098
Dr.12878.1.S1_x_at,5.959539458,6.847044477,6.857646595,7.465328185,6.712469901,7.238505735
Dr.5091.1.S1_at,12.45788514,12.6008764,12.51228704,12.80631873,12.42569498,12.62686563
Dr.1864.1.A1_at,11.14947348,11.29791803,10.98437391,11.43905368,10.95642523,11.32217633
Dr.18401.1.S1_at,5.572832203,6.923712235,6.868530606,7.47761644,5.62722665,6.876146556
Dr.13028.1.A1_at,6.779554529,7.42931256,6.06142486,7.828467389,5.794138201,6.935286319
Dr.83.1.A1_at,10.17612723,10.3894056,10.26397384,10.46006299,10.41540413,10.6124208
Dr.26486.1.S1_at,6.625215798,5.692464825,6.626868024,5.74143369,6.179799214,4.377675406
Dr.9167.1.S1_at,9.640092594,9.32250888,9.791183495,9.501139342,9.572664115,9.010670978
Dr.2716.1.A1_at,9.777427124,9.651398706,9.981642139,9.701449222,9.988589115,9.72802465
Dr.9195.1.A1_at,4.433983084,4.225437596,4.71448552,4.395558239,4.646587541,4.442895978
Dr.11140.1.A1_at,4.12124477,5.028962248,4.235909808,4.565794361,4.507183842,5.283256727
